Effective date, Entry price (per unit), Exit price (per unit)
05 Apr 2015, 1.195910, 1.195910
06 Apr 2015, 1.195910, 1.195910
07 Apr 2015, 1.199230, 1.199230
08 Apr 2015, 1.202060, 1.202060
09 Apr 2015, 1.203410, 1.203410
10 Apr 2015, 1.206890, 1.206890
11 Apr 2015, 1.206890, 1.206890
12 Apr 2015, 1.206890, 1.206890
13 Apr 2015, 1.210380, 1.210380
14 Apr 2015, 1.208270, 1.208270
15 Apr 2015, 1.208730, 1.208730
16 Apr 2015, 1.206630, 1.206630
17 Apr 2015, 1.200140, 1.200140
18 Apr 2015, 1.200140, 1.200140
19 Apr 2015, 1.200140, 1.200140
20 Apr 2015, 1.200310, 1.200310
21 Apr 2015, 1.202960, 1.202960
22 Apr 2015, 1.202000, 1.202000
23 Apr 2015, 1.202810, 1.202810
24 Apr 2015, 1.207280, 1.207280
25 Apr 2015, 1.207280, 1.207280
26 Apr 2015, 1.207280, 1.207280
27 Apr 2015, 1.209710, 1.209710
28 Apr 2015, 1.203730, 1.203730
29 Apr 2015, 1.195290, 1.195290
30 Apr 2015, 1.196460, 1.196460
01 May 2015, 1.199800, 1.199800
02 May 2015, 1.199800, 1.199800
03 May 2015, 1.199800, 1.199800
04 May 2015, 1.200830, 1.200830
05 May 2015, 1.195640, 1.195640
06 May 2015, 1.187110, 1.187110
07 May 2015, 1.186310, 1.186310
08 May 2015, 1.191140, 1.191140
09 May 2015, 1.191140, 1.191140
10 May 2015, 1.191140, 1.191140
11 May 2015, 1.190260, 1.190260
12 May 2015, 1.189150, 1.189150
13 May 2015, 1.188850, 1.188850
14 May 2015, 1.190550, 1.190550
15 May 2015, 1.194910, 1.194910
16 May 2015, 1.194910, 1.194910
17 May 2015, 1.194910, 1.194910
18 May 2015, 1.193200, 1.193200
19 May 2015, 1.194410, 1.194410
20 May 2015, 1.194930, 1.194930
21 May 2015, 1.198120, 1.198120
22 May 2015, 1.199680, 1.199680
23 May 2015, 1.199680, 1.199680
24 May 2015, 1.199680, 1.199680
25 May 2015, 1.201780, 1.201780
26 May 2015, 1.203650, 1.203650
27 May 2015, 1.204270, 1.204270
28 May 2015, 1.204760, 1.204760
29 May 2015, 1.204960, 1.204960
30 May 2015, 1.204960, 1.204960
31 May 2015, 1.204960, 1.204960
01 Jun 2015, 1.204290, 1.204290
02 Jun 2015, 1.195880, 1.195880
03 Jun 2015, 1.192640, 1.192640
04 Jun 2015, 1.190320, 1.190320
05 Jun 2015, 1.190400, 1.190400
06 Jun 2015, 1.190400, 1.190400
07 Jun 2015, 1.190400, 1.190400
08 Jun 2015, 1.190400, 1.190400
09 Jun 2015, 1.185120, 1.185120
10 Jun 2015, 1.186650, 1.186650
11 Jun 2015, 1.191680, 1.191680
12 Jun 2015, 1.189280, 1.189280
13 Jun 2015, 1.189280, 1.189280
14 Jun 2015, 1.189280, 1.189280
15 Jun 2015, 1.185430, 1.185430
16 Jun 2015, 1.186010, 1.186010
17 Jun 2015, 1.191120, 1.191120
18 Jun 2015, 1.186080, 1.186080
19 Jun 2015, 1.191010, 1.191010
20 Jun 2015, 1.191010, 1.191010
21 Jun 2015, 1.191010, 1.191010
22 Jun 2015, 1.195090, 1.195090
23 Jun 2015, 1.200440, 1.200440
24 Jun 2015, 1.200500, 1.200500
25 Jun 2015, 1.195930, 1.195930
26 Jun 2015, 1.194430, 1.194430
27 Jun 2015, 1.194430, 1.194430
28 Jun 2015, 1.194430, 1.194430
29 Jun 2015, 1.183030, 1.183030
30 Jun 2015, 1.188800, 1.188800
01 Jul 2015, 1.193880, 1.193880
02 Jul 2015, 1.198330, 1.198330
03 Jul 2015, 1.198510, 1.198510
04 Jul 2015, 1.198510, 1.198510
05 Jul 2015, 1.198510, 1.198510
06 Jul 2015, 1.191610, 1.191610
07 Jul 2015, 1.197540, 1.197540
08 Jul 2015, 1.188190, 1.188190
09 Jul 2015, 1.192060, 1.192060
10 Jul 2015, 1.197750, 1.197750
11 Jul 2015, 1.197750, 1.197750
12 Jul 2015, 1.197750, 1.197750
13 Jul 2015, 1.201510, 1.201510
14 Jul 2015, 1.205800, 1.205800
15 Jul 2015, 1.209180, 1.209180
16 Jul 2015, 1.213200, 1.213200
17 Jul 2015, 1.215100, 1.215100
18 Jul 2015, 1.215100, 1.215100
19 Jul 2015, 1.215100, 1.215100
20 Jul 2015, 1.216180, 1.216180
21 Jul 2015, 1.211990, 1.211990
22 Jul 2015, 1.210510, 1.210510
23 Jul 2015, 1.208680, 1.208680
24 Jul 2015, 1.208700, 1.208700
25 Jul 2015, 1.208700, 1.208700
26 Jul 2015, 1.208700, 1.208700
27 Jul 2015, 1.205040, 1.205040
28 Jul 2015, 1.205960, 1.205960
29 Jul 2015, 1.209230, 1.209230
30 Jul 2015, 1.212490, 1.212490
31 Jul 2015, 1.212120, 1.212120
01 Aug 2015, 1.212120, 1.212120
02 Aug 2015, 1.212120, 1.212120
03 Aug 2015, 1.212320, 1.212320
04 Aug 2015, 1.208800, 1.208800
05 Aug 2015, 1.211460, 1.211460
06 Aug 2015, 1.206420, 1.206420
07 Aug 2015, 1.198360, 1.198360
08 Aug 2015, 1.198360, 1.198360
09 Aug 2015, 1.198360, 1.198360
10 Aug 2015, 1.202820, 1.202820
11 Aug 2015, 1.201140, 1.201140
12 Aug 2015, 1.191880, 1.191880
13 Aug 2015, 1.193030, 1.193030
14 Aug 2015, 1.192120, 1.192120
15 Aug 2015, 1.192120, 1.192120
16 Aug 2015, 1.192120, 1.192120
